Congresista,Región,Votación,Comisiones,Bancada
Ciccia Vásquez Miguel Angel,Piura,"9,269","[['Agraria', 'T'], ['Cultura y Patrimonio Cultural', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Presupuesto y Cuenta General de la República', 'T'], ['Salud y Población', 'A'], ['Trabajo y Seguridad Social', 'A'], ['Vivienda y Construcción', 'A']]",RENOVACIÓN POPULAR
Coayla Juárez Jorge Samuel,Moquegua,"4,846","[['Agraria', 'T'], ['Energía y Minas', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Relaciones Exteriores', 'T'], ['Trabajo y Seguridad Social', 'S'], ['Vivienda y Construcción', 'T']]",PERÚ LIBRE
Cordero Jon Tay Luis Gustavo,Lima Provincias,"4,531","[['Agraria', 'A'], ['Ciencia, Innovación y Tecnología', 'A'], ['Cultura y Patrimonio Cultural', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'A'], ['Inteligencia', 'S'], ['Presupuesto y Cuenta General de la República', 'A'], ['Relaciones Exteriores', 'A']]",FUERZA POPULAR
Cordero Jon Tay María del Pilar,Tumbes,"2,194","[['Agraria', 'A'], ['Ciencia, Innovación y Tecnología', 'A'], ['Comercio Exterior y Turismo', 'A'], ['Constitución y Reglamento', 'A'], ['Cultura y Patrimonio Cultural', 'T'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'T'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Justicia y Derechos Humanos', 'T'], ['Mujer y Familia', 'A'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'A'], ['Relaciones Exteriores', 'T'], ['Salud y Población', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",FUERZA POPULAR
Córdova Lobatón María Jessica,Lambayeque,"12,552","[['Agraria', 'T'], ['Ciencia, Innovación y Tecnología', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Mujer y Familia', 'S'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Salud y Población', 'T'], ['Trabajo y Seguridad Social', 'A'], ['Vivienda y Construcción', 'A']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Cortez Aguirre Isabel,Lima,"34,888","[['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Fiscalización y Contraloría', 'A'], ['Trabajo y Seguridad Social', 'P']]",JUNTOS POR EL PERÚ
Cruz Mamani Flavio,Puno,"30,025","[['Ciencia, Innovación y Tecnología', 'P'], ['Cultura y Patrimonio Cultural', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'T'], ['Vivienda y Construcción', 'A']]",PERÚ LIBRE
Cueto Aservi José Ernesto,Lima,"36,769","[['Ciencia, Innovación y Tecnología', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Inteligencia', 'P'], ['Presupuesto y Cuenta General de la República', 'A'], ['Trabajo y Seguridad Social', 'T'], ['Transportes y Comunicaciones', 'A']]",RENOVACIÓN POPULAR
Cutipa Ccama Víctor Raúl,Moquegua,"3,821","[['Constitución y Reglamento', 'T'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Fiscalización y Contraloría', 'T'], ['Justicia y Derechos Humanos', 'T'], ['Transportes y Comunicaciones', 'A']]",PERÚ LIBRE
Dávila Atanacio Pasión Neomias,Pasco,"3,915","[['Ciencia, Innovación y Tecnología', 'A'], ['Constitución y Reglamento', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'T'], ['Fiscalización y Contraloría', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'S'], ['Vivienda y Construcción', 'T']]",PERÚ LIBRE
Díaz Monago Freddy Ronald,Pasco,"4,195","[['Agraria', 'S'], ['Energía y Minas', 'A'], ['Presupuesto y Cuenta General de la República', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'T']]",ALIANZA PARA EL PROGRESO
Doroteo Carbajo Raúl Felipe,Ica,"8,482","[['Agraria', 'V'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'A'], ['Inteligencia', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Vivienda y Construcción', 'A']]",ACCIÓN POPULAR
Echaíz de Núñez Izaga Gladys Margot,Lima,"21,627","[['Constitución y Reglamento', 'V'], ['Fiscalización y Contraloría', 'A'], ['Justicia y Derechos Humanos', 'P']]",ALIANZA PARA EL PROGRESO
Echeverría Rodríguez Hamlet,Cajamarca,"3,647",[],PERÚ DEMOCRÁTICO
Elera García Wilmar Alberto,Piura,"11,483","[['Constitución y Reglamento', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Fiscalización y Contraloría', 'T'], ['Transportes y Comunicaciones', 'V'], ['Vivienda y Construcción', 'T']]",SOMOS PERÚ
Elías Ávalos José Luis,Ica,"10,708","[['Constitución y Reglamento', 'T'], ['Cultura y Patrimonio Cultural', 'T'], ['Educación, Juventud y Deporte', 'T']]",PODEMOS PERÚ
Espinoza Vargas Jhaec Darwin,Áncash,"6,505","[['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'A'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'P']]",ACCION POPULAR
Flores Ancachi Jorge Luis,Puno,"23,539","[['Agraria', 'A'], ['Cultura y Patrimonio Cultural', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Energía y Minas', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Salud y Población', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",ACCION POPULAR
Flores Ramírez Alex Randu,Ayacucho,"21,993","[['Constitución y Reglamento', 'A'], ['Cultura y Patrimonio Cultural', 'P'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Mujer y Familia', 'T'], ['Relaciones Exteriores', 'T']]",PERÚ LIBRE
Flores Ruíz Víctor Seferino,La Libertad,"12,256","[['Ciencia, Innovación y Tecnología', 'T'], ['Comercio Exterior y Turismo', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'V'], ['Relaciones Exteriores', 'A'], ['Vivienda y Construcción', 'S']]",FUERZA POPULAR
García Correa Idelso Manuel,Piura,"14,205","[['Agraria', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Trabajo y Seguridad Social', 'A'], ['Vivienda y Construcción', 'A']]",ALIANZA PARA EL PROGRESO
